name	year	discipline	total_years	society_name	society_members	attendees	venue	frequency	sponsors	virtual_option	digital_archives	attendance_cost	registration_fee	carbon_footprint	other_carbon_footprint	electonic_program	onsite_maternity	onsite_childcare	caregiver_grant	career_development	ecr_promotion_events	travel_awards	code_of_conduct	safety_instructions	gender_balance	keynote_gender_balance	speaker_gender_balance	invited_gender_balance	session_chair_gender_balance	conference_chair_gender_balance	environmental_sustainability	public_engagement	sustainability_initiatives	conference_url	other_details
Intelligent Systems for Molecular Biology (ISMB) ISCB	2020	Computational Biology	27	International Society of Computational Biology	3400	2000	Montreal, Canada	Annual		None	None	 $2000-$4000	$480-$1185	3000	600	Yes Electronic program book was available on the conference website.	Yes (A private room is available during the conference for nursing mothers and others with sensitive personal needs. Please note that this room is not staffed and contains tables, chairs, and a waste basket. A restroom is located nearby. )	None (ISCB is unfortunately unable to provide childcare services. Attendees are encouraged to contact their hotel concierge to arrange individual or group childcare. Please check with your hotel well in advance of your arrival date.  Please note that it is the responsibility of the parent(s) and guardians requesting child care services to screen caregivers and to make a determination as to the appropriateness of the caregiver. ISCB does not screen childcare services and assumes no responsibility or liability with respect to these services.)	None	None	ISCB Student Council (https://www.iscbsc.org/) aim to promote the caree development of young computational biologists through their events. The Student Council conducts coordinated ECR events with ISCB-related events (ISMB, ECCB, ASBCB, ISCB-LA), such as the Student Council Symposium (SCS), European Student Council Symposium (ESCS), Student Council Symposium - Latin America (LA-SCS) and Student Council Symposium - Africa (SCS Africa)	Yes (ISCB provides Travel Fellowship funds exclusively for ISCB student and post doctoral members to attend the annual Pacific Symposium on Biocomputing (PSB), Conference on Research in Computational Molecular Biology (RECOMB), Conference on Intelligent Systems for Molecular Biology (ISMB), the European Conference on Computational Biology (ECCB), and APBioNet's International Conference on Computational Biology (InCoB). With the exception of PSB which is regularly held the first week of January in Hawaii, these other conferences typically move around geographically each year, and each are separated by several weeks or several months so as not to overlap. If you are a student or post doc presenting a paper or poster at any of these conferences and you need travel support funds to attend the conference please complete the application process as outlined on each of the conference websites (see conference calendar for links to the respective upcoming conference websites). ISCB fellowships to the annual ISMB conference are primarily supported through grant funds from U.S. government agencies, including the National Science Foundation (NSF), the Department of Energy (DOE), and in some cases the National Institutes of Health/National Institute of General Medical Sciences (NIH/NIGMS). When ISMB is held in conjunction with ECCB additional fellowship funding may be supported through European agencies. As a member society of the Federation of American Societies for Experimental Biology (FASEB), all of ISCB's Society-run annual conferences, ISMB, Rocky, CSHALS, GLBIO, ISCB-Africa, ISCB-Asia, and ISCB-Latin America are also eligible for the Minority Access to Research Careers (MARC) travel fellowship program supported by a long- term grant from the NIH. The MARC funds are exclusively designated for minority scientists who are U.S. citizens or permanent residents (green card holders). Full information on the MARC funding program can be found on the FASEB website at www.faseb.org. Due to limited funds we regret that it is generally not possible to fund all travel fellowship applicants to the above conferences.) 	https://www.iscb.org/ismb2020-general/codeofconduct	None	None	3 Women: 2 Men	Not Applicable to this meeting.	No information available online.	No information available online.	2 Men: 1 Women, Steering Committee: 7 Women: 5 Men	None	None	None	https://www.iscb.org/ismb2020-committee/ismb2020-committees#steering	
CNS2020 meeting	2020	Cognitive Sciences	27	Cognitive Neuroscience Society	3000	2,000	Boston, MA, USA	Annual	The Kavli Foundation	This conference was not held in Boston, was instead held virtually due to COVID-19 pandemic.	Only Keynote lectures from previous meeting years available.	 $2000-$4001	$180-$580	3000	600	Yes (Program book available on conference website as .pdf file.)	None	None	None	Yes (1.Need to Know News from NIH about Grant Applications and Opportunities.  2.CNS TRAINEE PROFESSIONAL DEVELOPMENT Panel)	Yes (Young Investigator Award for early career faculty)	Yes (Graduate Student Awards and the Post-Doctoral Fellow Awards to cover travel expenses)	Yes (https://www.cogneurosociety.org/code-of-conduct-2/)	None	None	1 Man	Not Applicable to this meeting.	Invited Symposium: 12 Men: 4 Women	15 Men: 6 Women	Program Committee: 4 Men: 3 Women	None	None	None	https://www.cogneurosociety.org/	Note March 2020:CNS 2020 will proceed as a virtual conference later this spring, with the dates to be announced soon: It is not taking place on March 14-17, 2020.  Virtual conference planning is progressing well, and more details are forthcoming. Deep thanks to the plenary and award speakers, symposia chairs, and speakers, as well as the CNS Trainee Association, who have overwhelmingly stepped up to provide their talks for the virtual meeting.  We have contracted to use a single, professional virtual platform that presents the talks, symposia, and panels in a regular meeting style, including live chat and other options for interaction. Poster presenters will have high-quality customizable virtual poster booths where they can present their posters, including short optional video presentations and live chat. Exhibitors will have access to “exhibitor booths,” with options that include live chat and other methods for interaction.
IUSSI International Congress	2018	Insectology	18	International Union for the Study of Social Insects	1093	1000	Congress held at international locations, section meetings held locally, Guarujá, Brazil	Congress is quadrennial  while section meetings are annual	Springer Publishing, FABELAH, FAPESP,CAPES, CNPq	None	None	 $2000-$4000	$210-$470	1500	300	Yes Electronic program book was available on the conference website.	None	None (Casa Grande Hotel, Resort & Spa offers childcare facilities for congress participants who stay at the hotel.)	None	None	None	None	Yes	None	None	Not Applicable to this meeting.	5 Men: 4 Women	Not Applicable to this meeting.	56 Men: 29 women	Conference chair: 1 Man	None	None	None	http://www.iussi.org/	
ECCMID meeting	2018	Clinical Microbiology and Infectious Diseases	30	European Society of Clinical Microbiology and Infectious Diseases (ESCMID)	37,000	13,000	Meetings around Europe, Madrid, Spain	Annual		Electronic posters & Livestreaming ALL sessions and all 4 days with commenting capability(https://www.eccmidlive.org/): ECCMIDlive allows you to: Browse the programme by date or session type: on this page, you can choose a date to see all scheduled sessions at a glance. You can as well browse by session type, content or presenter surname. Listen to presentations: presentations are webcasted immediately after their conclusion. Search for presenter surname, session title or presentation title to find the presentation you want to watch. Click, play and enjoy. Search for speakers, presentation title or number, topics, co-organisers: use the full-text search field on the top of this page. Comment on sessions before, during or after they take place. Find the session you want to comment on, login with your ESCMID credentials and write down your expectations, wishes or thoughts. Your comments will be published on the session page. Create your personal programme: find the session you wish to attend and create your own programme. To add a session to your personal programme, login and click the “Add to personal programme” button in the session view. In addition, you can download sessions to your own calendar by clicking on “Add to calendar”. Read abstracts: download abstracts that will be or have been presented at ECCMID. Find abstract by searching for presenter name, session/presentation title or explore the session page. Some abstracts may not be available because under embargo. Evaluate sessions: after attending a session, you have the possibility to evaluate it and then collect CME credits. 	Yes! ECCMID eLibrary hosts all conference talks and other materials online as recorded video etc archives.	 $2000-$4000	$100-$900	19500	3900	None	Lactation room available	None	None	None	Yes (1. Young Investigator Award; ESCMID Trainee Association, n 2020, ESCMID will again hold the popular TAE Trainees Day. This session offers a great platform for young professionals to speak to renowned experts in the fields of CM and ID. Participants can learn more about opportunities available to them to further their career and to get inspiration from experts who were once also at the beginning of their career paths. It is also the perfect opportunity to build stronger links between senior experts and future professionals. A popular part of the Trainees Day is the round-table session, which gives younger professionals the chance to talk directly to experts in an informal setting. Participants need to be 40 years of age or younger and registered for ECCMID 2020 in order to be eligible for participation. Those older than 40 and those without a voucher/confirmation mail will not be admitted to the round table sessions. Note: all conference distinguished Awards and Young Investigator Awards (7) in 2018 went to men.  2.For the 30th edition of ECCMID, we would like to highlight 30 outstanding young scientists 30 years of age or younger.)	Yes (Awared 90 travel grants,Only for ESCMID Members)	None	None	None	7 Men: 1 Woman	Not Applicable to this meeting.	No information available online.	171 Men: 132 Women	Executive committee: 8 Men: 3 Women, Program Committee: 30 Men: 17 Women	None	None	None	https://www.eccmid.org/	
TWAS/BioVisionAlexandria.Nxt	2018	Multidisciplinary	36	TWAS-AREP (The World Academy of Sciences for the advancement of science in developing countries (TWAS) is a global science academy based in Trieste, Italy)	1,190	2000	Alexandria and Lyons, France	Annual		None	None	 $2000-$4000	Egyptian Participants: $9-$44   International Participants: $90-$1000	3000	600	Yes Electronic program book was available on the conference website.	None	None	None	None	 hosted 99 young scientists from 27 developing countries to discuss the problems these scientists face when conducting research in their respective countries.	None	None	None	None	1 Man	98 Men: 14 Women	Not Applicable to this meeting.	30 Men: 1 Woman	No information available online.	None	None	None	https://www.bibalex.org/TWAS-AREP/en/BioVision/BioVision.aspx	
ASCB	2018	Cell Biology	60	American Society for Cell Biology	8,000	6000	Washington DC, USA	Annual	Allen Institute for Cell Science, Burrough Wellcome Fund	None	None	 $2000-4000	$50-$655	9000	1800	Yes both mobile App and online program Itinerary builder	Yes (2017: The Pennsylvania Convention Center is pleased to offer two portable “Mamava” lactation suites for nursing mothers to breast feed infants or to use breast pumps in privacy. The units are self-contained, mobile pods with comfortable benches, an electrical outlet and a door that can be locked for privacy. The 4-foot by 8-foot pod is meant for individual use, but can fit more than one person, including mothers with infants, breast pumps, or luggage. One is positioned near the Concierge Desk on the Convention Center’s second level between Halls A and B and a second unit is located on the street level on the Broad and Arch Concourse.  2018: A nicely furnished permanent Infant Lounge is located in the Women’s restroom behind Starbucks in the Hall E Lobby of the San Diego Convention Center. Look for a sign with arrows pointing to it just outside the Starbucks. The room has tables and chairs, electricity, and water. The semi-private lounge, available for nursing mothers and parents with infants, provides a comfortable and secure environment. Parents and guardians are responsible for providing infant care supplies. The infant lounge is unsupervised, and the ASCB | EMBO are not responsible for any accidents or injuries that may occur.)	None-says Hotels may have it at a charge off-site(Onsite childcare services may be available through your hotel concierge. Individual or group sitters may be arranged to provide in-room hotel childcare. Please check with your hotel well in advance of your arrival date. It is the responsibility of the parent(s), guardian, legal guardian, or individual requesting childcare services to screen caregivers and to make a determination as to the appropriateness of the caregiver. The ASCB | EMBO does not screen any of the childcare services and assumes no responsibility with respect to these services and accepts no liabilities.)	The ASCB Women in Cell Biology (WICB) Committee, with funding from Springer Nature, is accepting applications for grant support to help offset the cost of childcare, enabling scientists with dependent children to attend the 2019 ASCB|EMBO Meeting. Grants will be in the form of reimbursement of qualified expenses up to the designated limit to be remitted at the ASCB|EMBO Meeting. Only one parent of a child or children may apply. You may apply for both a childcare grant and a travel grant. Priority will be given to students and early-career scientists. Funds may be applied to the following needs:  Home-based childcare expenses incurred because of meeting attendance (funds may not be applied to normal ongoing expenses).  Travel of a relative or other care provider to your home to care for your child(ren) while attending the ASCB/EMBO Meeting.  Travel of your child(ren) to the location of a care provider who does not live in your community.  Travel of a care provider to the ASCB/EMBO Meeting with you to care for your child(ren) in that city.	Yes Many!(https://www.ascb.org/wp-content/uploads/2019/11/professdevataglance11_12.pdf).     Transitions Academy - Undergraduate Session: Preparing a Successful Application for Graduate School—the Do’s, the Don’ts, and the What If’s Transitions Academy - Early Graduate Student Session: Hit the Ground Running as an Incoming Graduate Student to a PhD Program Transitions Academy - Senior Graduate Student Session: Planning Your Next Step—Finding the Right Pos-Doctoral Position for Your Career Transitions Academy - Postdoc Session—Developing a Plan for Your Scientific Independence, Easing the Transition from Postdoc to Independent Investigator Transitions Academy - Postdoc Session—Developing a Plan for Your Scientific Independence, Easing the Transition from Postdoc to Independent Investigator You Can Publish This Too! Developing, Publishing, and Highlighting Innovative Classroom Activities	Yes: 1.WICB Junior Award for Excellence in Research A woman in an early stage of her career (within seven years of appointment to an independent position at the nomination deadline) who is making exceptional scientific contributions to cell biology, is developing a strong independent research program, and exhibits the potential for continuing at a high level of scientific endeavor and leadership. Provide a letter of nomination, a full-length CV, and up to three letters of support, including at least one from outside the nominee’s institution. The winner is presented a plaque and $1,000 and will speak in a Minisymposium at the ASCB/EMBO Meeting. Meeting registration, economy airfare, up to 4 nights hotel, and up to 4 days per diem are paid.).  2. Merton Bernfield Memorial Award (Who is Eligible: An outstanding graduate student or postdoctoral fellow (at the time of nomination) who has excelled in research.).   3. Günter Blobel Early Career Award: (This award is given to an outstanding life scientist who has served as an independent investigator for no more than seven years as of May 15. It was previously called the Early Career Life Scientist Award but was renamed in 2020 to honor Günter Blobel. Award Details: The winner is presented a plaque and $1,000 and will speak in a Minisymposium at the ASCB|EMBO Meeting. Meeting registration, economy airfare, up to 4 nights hotel, and up to 4 days per diem are paid. Who is Eligible: An outstanding scientist who has served as an independent investigator for no more than seven years as of May 15.).  	Old program for national meeting travel support is retired, ASCB now only offers travel grants to regional meetings.  ASCB offers travel grants to undergraduate and graduate students, postdocs, underrepresented minorities, international graduate students and postdocs, junior faculty at primarily undergraduate institutions, and LGBTQ+ scientists, as well as grants for childcare assistance to attend the 2019 ASCB/EMBO Meeting: U.S. Undergraduate students - $300, U.S. Graduate students - $300, U.S. Postdoctoral researchers - $300, International graduate students and postdocs - up to $750, Junior faculty at a primarily undergraduate institution in the U.S. - $400, Underrepresented Minorities - up to $1,700, LGBTQ+ scientists - Three grants, each up to $600.	https://www.ascb.org/about-ascb/anti-harassment-policy/	None	None	1 Man	Not Applicable to this meeting.	Not Applicable to this meeting.	31 Men: 26 Women	Program Committee: 11 Men: 9 Women, Program Committee Chairs/co-Chairs: 8 Men: 8 Women	None	None	None	https://www.ascb.org/2019ascbembo/	
American Nutritional Society meeting	2019	Nutrition	92	American Nutritional Society	7500	2000	Baltimore, MD, USA	Annual		None	None	 $2000-$4000	$45-$835	3000	600	Yes online program and schedule planner were availabe online on conference website	None	None must apply for care-giver grant	Yes (Nutrition 2020 aims to be a family friendly environment and ASN is offering small grants to help off-set caregiving expenses to enable scientists with dependent children or family members to present their research in Seattle. The Nutrition 2020 Family Support Grant is a reimbursable allowance up to a maximum of $750 towards eligible funding scenarios. Provision of these grants is part of a study to assess and evaluate conference attendance feasibility; through this effort we will gather feedback about preferences and barriers to conference attendance.   Only one parent or caregiver from each family may apply for a grant and only one grant per family may be awarded. Priority will be given to ASN members who are students, postdoctoral fellows, and early career scientists. International applicants welcome.  The following scenarios are permitted:     On-site care provided in the Seattle area     Caregiver travels to attendee’s home to care for dependent     Dependent travels to caregiver outside home community     Caregiver travels to meeting location to care for dependent) 	None	Yes (Nutrition 2020 offers opportunities to meet and network with scientists and practitioners from around the globe. Make new friends and connections in an intimate environment you don’t get at any other event. You can: Join hot-topic discussion sessions, mentoring activities and other special events hosted by the ASN’s sixteen Research Interest Sections and three Councils — vibrant scientific communities that are vital to advancing nutrition science. Connect with fellow Students and Young Professionals at activities coordinated by ASN’s Student Interest Group and Early Career Nutrition Interest Group. Join in the Graduate Students Breakfast, Speed Mentoring, Students Meet the Fellows and other popular networking activities. Network with faculty from nutrition, food science and other related biomedical sciences to share successes, challenges and innovations in undergraduate and graduate education. The annual Department Heads Breakfast is a popular event!)	Yes(ASN awards more than $90,000 in awards and travel grants to students and young investigators annually), Through FASEB, the Nutrition 2020/FASEB “Diversity Resources for Enrichment, Access & Mentoring” (DREAM) Mentored Travel Award is available for first-time attendees/presenters and presenters who want a mentored meeting experience at the Nutrition 2020 meeting. Undergraduates, graduate/PhD students, medical students/clinical fellows and postdoctoral fellows are eligible. Funding is restricted to USA citizens and Permanent Residents of the USA only. Travel awards are open to all groups including, but not limited to, underrepresented groups. The maximum award amount is $1,500. Awardees cannot accept funding from any other sponsoring organization. Therefore, while awardees may still apply for and compete in any ASN award competition, they cannot receive additional funding from ASN. 	None	None	None	No information available	3 Women: 2 Men	54 Men: 52 Women	27 Men: 28 Women	No information available	None	None	None	https://nutrition.org/welcome-to-nutrition-2019/	
ACNP	2018	Neurophyschopharmacology	58	American Society for Neuropsychopharmacology	3000	2000	Florida, United States of America	Annual	?	E-posters were available on conference website (past meetings).	Yes Recorded video archive available(https://acnp.org/digital-library/annual-meeting-videos/), ACNP has a digital library with many other digital resources as well(https://acnp.org/digital-library/)	 $2000-$4000	$240-$640	3000	600	Yes Electronic program book was available on the conference website.	None	Yes (KiddieCorp will again provide a children'sprogram. KiddieCorp is in its 33rd year of providing high-quality children's programs andyouth services for meetings and special events. They take watching your children veryseriously. KiddieCorp has enjoyed long-time partnerships with the American Academy ofPediatrics, which has helped establish KiddieCorp as a premier provider of eventchildren's program services.  This is the 8th year the ACNP has partnered withKiddieCorp to provide a childcare option for attendees.  Their goal is to provide your children with a program they want to attend while providingyou with that critical "peace of mind" feeling so you can attend your meeting activities.The children's program is for children ages 6 months through 12 years old.)	$80 per day for childcare thorough the Travel Grant (For select distinguished ECRs)	Yes: Career Development Session: Striving for Success as Faculty in Academia. 	Yes (Diversity Events: 1. Speed Networking Session, sponsored by the Membership Advisory Task Force (Open to all registered attendees). 2. Under-Represented Minority Women’s Networking Session (Open to all registered URM attendees) 3.ACNP Under-Represented Minority Networking Reception (Open to all registered URM scientific attendees) 4. Women’s Luncheon 5. Networking Reception, sponsored by the Women’s Task Force)	Yes in 5 categories(Distinguished young scientists in the field of neuropsychopharmacology   AWARD BENEFITS: Annual Meeting registration for award recipient and accompanying other  Up to five nights lodging and roundtrip coach airfare to attend the annual meeting   Ground transportation stipend of $100 A daily stipend of $50 for meals up to six days Childcare stipend of $80 per day, per child Opportunity to present a poster abstract  An ACNP member mentor for the annual meeting An automatic invitation to attend four (4) additional annual meetings with reduced registration fee, and the opportunity to present a poster abstract at each meeting  ELIGIBILITY Any scientist worldwide is eligible to apply for a travel award. All candidates must be eligible in one of the three applicant tiers AND meet training/post training limits as described below.  Candidates from underrepresented populations in science and medicine are highly encouraged to apply. Previous Travel Awardees are not eligible to apply.   APPLICANT TIERS Junior Level applicants are defined as those individuals who are below Assistant Professor or equivalent level if in a non-academic institution, i.e., trainees including psychiatric residents, Pharm.D. residents, interns, and post-doctoral fellows. These applicants may be no more than 5 years past final training (postdoctoral fellowship or residency). Post training for M.D.’s will be counted from the final year of their residency or fellowship. Post training for Pharm.D.’s will be counted from completion of Pharm.D. or residency if completed.  Post training for Ph.D.’s will be counted from the last year of postdoctoral fellowship.   Senior Level applicants are defined as those individuals who are at the Assistant Professor level or its equivalent, but not an R01 awardee.  Applicants may be no more than 5 years past their final training (postdoctoral fellowship or residency). Any person who is an Associate Professor or has already obtained an R01, is considered too senior to apply for a travel award. Post training for M.D.’s will be counted from the final year of their residency or fellowship. Post training for Pharm.D.’s will be counted from completion of Pharm.D. or residency if completed.  Post training for Ph.D.’s will be counted from the last year of postdoctoral fellowship. TYPES OF AWARDS Although all applicants for a travel award complete one common application, there are several categories within the travel award program as described below.)	https://acnp.org/annual-meeting/code-of-conduct/	None	None	No information available	No information available	No information available	No information available	No information available	None	None	None	https://acnp.org/annual-meeting/	
EMBO meetings (EMBO has joined the American Society for Cell Biology for their annual meeting.)	2018	Life Sciences, Cell Biology	57	European Molecular Biology Laboratory (EMBL)	1800	1500	Eurpean countries	Annual		None	None	 $2000-$4000	$100-$655	2250	450	Yes : EMBO has joined the American Society for Cell Biology (ASCB) for their annual meeting.	None	None	Yes (Organizers of EMBO events can allocate funds to offset additional child care costs incurred by participants or speakers when participating at any EMBO funded meeting. Up to €1000 are provided for each course or workshop in addition to the core funding awarded. Eligible costs include fees for a baby-sitter or child-care facility, travel costs for a care giver, or travel costs for taking the child to the meeting etc. The selection is handled by the organisers of the respective meetings.) 	ASCB workshops (joint annual meeting with ASCB)	Yes (he EMBO Young Scientists' Forum brings together EMBO Installation Grantees, EMBO Young Investigators and PhD students and postdoctoral researchers for an overview of the latest development in the life sciences.)	Yes (A limited number of travel grants is available for eligible participants who are selected to attend EMBO Workshops, EMBO Practical Courses, EMBO | FEBS Lecture Courses, EMBO | EMBL Symposia.)	https://www.embo-embl-symposia.org/info_participants/terms/index.html	None	None	same as ASCB as they are held joint for a few yesr now.	same as ASCB as they are held joint for a few yesr now.	same as ASCB as they are held joint for a few yesr now.	same as ASCB as they are held joint for a few yesr now.	same as ASCB as they are held joint for a few yesr now.	None	None	None	https://www.embo.org/events#embo-annual-scientific-meetings	
AIDR (Artificial Intelligence for Data Discovery & Reuse) meeting	2018	Data Science	1	A National Science Foundation (NSF)-supported conference @ Carnegie Mellon University, in-cooperation with ACM	Not Applicable	200	Carnegie Mellon University, Pittsburg, PA, USA	Annual		None	Yes See slides and posters here: AIDR Collection @ F1000Research and ICPS Digital Library(https://dl.acm.org/doi/proceedings/10.1145/3359115?preflayout=flat)	 $2000-$4000	$75-$200	300	60	Yes Electronic program book was available on the conference website.	None	None	None	None	None	None	None	None	None	2 Men	7 Men: 5 Women	26 Men: 13 Women	4 Men: 2 Women	co-chairs: 2 Women: 2 Men/Program Committee: 3 Men: 1 Women/General chair: 1 woman/Organizing Committee: 4 Women	None	None	None	https://events.library.cmu.edu/aidr2019/	
ISC(International Stroke Conference) 2020 (an AHA meeting)	2020	Cardiovascualr Health & Disease	50	American Heart Association	33000	4500	Los Angeles, California, United States	Annual	Biogen,FirstKind Ltd,Know Diabetes By Hear,tMedtronic,Portola Pharmaceuticals,Shirley Ryan AbilityLab,Syntheon,Tele,Specialists LLC,Viz,Wolters Kluwer,Cerenovus,Chiesi,Integra,Medtronic.	Yes but not free and only for Keynote sessions (We invite you to participate in the most dynamic and interactive international cerebrovascular and stroke scientific sessions. Cutting-edge thought-leaders, innovators, researchers and clinical practitioners specializing in stroke will gather for three and a half inspiring days in Los Angeles. As an online attendee you can participate in the Q & A discussions as well as choose to view sessions based on your schedule up to a week after the conference. Now you can attend and enhance your learning without leaving your desk!) Key sessions* will be live streamed; 3.5 days of interactive programming! Benefits of Livestreaming: Chat amongst other online attendees in real time.     Engage in key sessions and submit your questions o the presenters just as if you were sitting in the session room.     Access sessions that work for your schedule.     Stream sessions from any devices while on the go. 	None	 $2000-$4000	$200-$1700	6750	1350	Yes Electronic program book was available on the conference website both as .pdf file and an online planner.	None	Yes(Bring the whole family to Los Angeles! While you’re attending cutting-edge sessions, your children can enjoy a full day of age-appropriate activities and fun, including arts and crafts projects, active games, and an evening entertainment program! The program is available for children ages 6 months-12 years. The AHA has partnered with ACCENT on Children’s Arrangements, Inc., a national company specializing in children’s activities, to bring you and your family a safe, nurturing and educational environment available throughout the duration of ISC 2020 and the pre-conference symposia.)	None	Yes (Fellow and Early Career Mentoring Lunch) 	None	Yes (1. Junior Investigator (Undergraduate or graduate trainee or Medical Resident: Travel Grants for ISC(https://professional.heart.org/idc/groups/ahamah-public/@wcm/@sop/@scon/documents/downloadable/ucm_441075.pdf))	None	None	None	No information available	No information available	No information available	No information available	Program Committee: 20 Men: 16 Women	None	None	None	https://professional.heart.org/professional/EducationMeetings/MeetingsLiveCME/InternationalStrokeConference/UCM_316936_Registration-International-Stroke-Conference.jsp	Outstanding Stroke Research Mentor Award: https://professional.heart.org/idc/groups/ahamah-public/@wcm/@sop/@scon/documents/downloadable/ucm_495271.pdf
ADA meeting	2018	Diabetes	80	American Diabetes Association	20,000	12000	Orlando, FL, United States	Annual		None	Yes Scientific session webcast from previous year's annual meeting is available(https://professional.diabetes.org/webcasts-ss2019) must pay $299 for full meeting content	 $2000-$4000	$280-$945	18000	3600	None	None	None	None	None	None	None	None	None	None	No information available	No information available	No information available	No information available	Planning  Committee: 20 Men: 13 Women	None	None	None	https://professional.diabetes.org/scientific-sessions	
